87.255.2.27"2017-08-26 00:00:05.610";"245";"http://polysintez.ru/stroitelnyiy-tent-profi-120-g-m2-5x6-m"
87.255.2.27"2017-08-26 00:00:06.632";"294";"http://polysintez.ru/index.php?route=product/product/review&product_id=1781"
87.255.2.27"2017-08-26 00:00:06.675";"288";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Fstroitelnyiy-tent-profi-120-g-m2-5x6-m"
37.9.118.28"2017-08-26 00:00:08.048";"514";"http://polysintez.ru/"
68.180.228.37"2017-08-26 00:00:48.725";"245";"http://polysintez.ru/dispenser-dlya-streych-plenki-profi"
178.154.224.71"2017-08-26 00:01:06.893";"545";"http://polysintez.ru/"
178.20.235.164"2017-08-26 00:01:41.762";"246";"http://polysintez.ru/index.php?route=feed/yandex_yml"
5.255.198.95"2017-08-26 00:03:28.063";"2352";"http://polysintez.ru/index.php?route=extension/feed/yandex_yml&token=q1y20V6pvL3hlBAPG39Nss8TjIR2b7VRODEYqE0Iu0y"
5.255.198.106"2017-08-26 00:04:03.371";"447";"http://polysintez.ru/armirovannaya-plenka-profi-120-g-m2-4x50-m"
173.252.84.58"2017-08-26 00:06:32.924";"145";"http://polysintez.ru/ukryivnaya-zaschitnaya-plenka-oxiss-2-7x20-m"
141.8.142.22"2017-08-26 00:07:11.069";"295";"http://polysintez.ru/zaschitnaya-fasadnaya-setka-80-g-m2-3x50-m"
141.8.142.22"2017-08-26 00:07:17.626";"187";"http://polysintez.ru/geotekstil-izobond-geo-150-40-m2"
5.255.198.106"2017-08-26 00:07:19.888";"246";"http://polysintez.ru/armirovannaya-plenka-profi-120-g-m2-4x50-m"
141.8.142.22"2017-08-26 00:07:31.515";"337";"http://polysintez.ru/armirovannaya-plenka-oxiss-120-gm2-6x25-m"
141.8.142.22"2017-08-26 00:08:54.385";"525";"http://polysintez.ru/polietilenovyie-plenki/mnogoletnyaya-plenka/"
217.69.134.64"2017-08-26 00:08:58.529";"120";"http://polysintez.ru/index.php?route=extension/feed/google_sitemap"
5.45.235.98"2017-08-26 00:11:20.517";"2717";"http://polysintez.ru/index.php?route=extension/feed/yandex_yml&token=q1y20V6pvL3hlBAPG39Nss8TjIR2b7VRODEYqE0Iu0y"
93.158.141.26"2017-08-26 00:12:33.575";"440";"http://polysintez.ru/armirovannaya-plenka-profi-120-g-m2-4x50-m"
141.8.142.22"2017-08-26 00:13:23.378";"285";"http://polysintez.ru/plenka-vyisshiy-sort-chernaya-100-mkm-3x100-m"
5.255.198.111"2017-08-26 00:17:04.182";"274";"http://polysintez.ru/armirovannaya-plenka-profi-120-g-m2-4x50-m"
95.108.129.196"2017-08-26 00:18:57.504";"470";"http://polysintez.ru/"
66.249.64.80"2017-08-26 00:19:16.279";"127";"http://polysintez.ru/gidro-paroizolyatsiya-nanoizol-d"
37.9.118.28"2017-08-26 00:19:57.828";"313";"http://polysintez.ru/"
178.154.224.71"2017-08-26 00:20:56.641";"385";"http://polysintez.ru/"
217.69.134.109"2017-08-26 00:22:02.741";"141";"http://polysintez.ru/index.php?route=extension/feed/google_sitemap"
5.255.198.106"2017-08-26 00:22:40.142";"283";"http://polysintez.ru/armirovannaya-plenka-profi-120-g-m2-4x50-m"
5.255.198.95"2017-08-26 00:25:37.628";"2270";"http://polysintez.ru/index.php?route=extension/feed/yandex_yml&token=q1y20V6pvL3hlBAPG39Nss8TjIR2b7VRODEYqE0Iu0y"
31.23.178.181"2017-08-26 00:25:43.448";"228";"http://polysintez.ru/mnogoletnyaya-plenka-120-mkm-4x100-m"
31.23.178.181"2017-08-26 00:25:46.140";"71";"http://polysintez.ru/index.php?route=product/product/review&product_id=1911"
31.23.178.181"2017-08-26 00:25:46.887";"54";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Fmnogoletnyaya-plenka-120-mkm-4x100-m"
213.87.130.34"2017-08-26 00:26:21.106";"600";"http://polysintez.ru/armirovannyie-plenki/"
213.87.130.34"2017-08-26 00:26:39.758";"64";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Farmirovannyie-plenki%2F"
5.255.198.106"2017-08-26 00:27:06.872";"419";"http://polysintez.ru/armirovannaya-plenka-profi-120-g-m2-4x50-m"
157.55.39.93"2017-08-26 00:27:29.533";"198";"http://polysintez.ru/stroitelnyiy-tent-tarpaulin-120-g-m2-3x6-m"
