89.169.36.32"2017-08-10 00:00:31.960";"197";"http://polysintez.ru/armirovannaya-plenka-zozp-200-g-m2-6x25-m"
66.249.69.76"2017-08-10 00:01:00.105";"151";"http://polysintez.ru/brezentovyiy-polog-450-g-m2-4x8-m"
178.20.235.164"2017-08-10 00:01:07.137";"262";"http://polysintez.ru/index.php?route=feed/yandex_yml"
93.158.141.26"2017-08-10 00:01:54.458";"364";"http://polysintez.ru/stroitelnyiy-tent-eco-120-g-m2-6x8-m"
66.249.69.76"2017-08-10 00:02:00.536";"233";"http://polysintez.ru/brezentovyiy-polog-450-g-m2-4x5-m"
95.108.129.196"2017-08-10 00:02:10.929";"409";"http://polysintez.ru/"
66.249.69.76"2017-08-10 00:03:00.327";"328";"http://polysintez.ru/meshki-i-paketyi/"
89.169.36.32"2017-08-10 00:03:08.461";"261";"http://polysintez.ru/zaschitnaya-fasadnaya-setka-50-g-m2-3x50-m"
89.169.95.95"2017-08-10 00:04:10.634";"319";"http://polysintez.ru/zaschitnaya-fasadnaya-setka-35-g-m2-4x50-m"
66.249.69.78"2017-08-10 00:04:12.534";"343";"http://polysintez.ru/skotchi-i-lentyi/"
46.242.11.83"2017-08-10 00:04:55.058";"206";"http://polysintez.ru/vozdushno-puzyirchataya-plenka-1-5x100-m"
46.242.11.83"2017-08-10 00:04:55.856";"42";"http://polysintez.ru/index.php?route=product/product/review&product_id=1717"
46.242.11.83"2017-08-10 00:04:55.946";"33";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Fvozdushno-puzyirchataya-plenka-1-5x100-m"
46.242.11.83"2017-08-10 00:05:05.341";"115";"http://polysintez.ru/delivery"
46.242.11.83"2017-08-10 00:05:06.027";"47";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Fdelivery"
89.169.95.95"2017-08-10 00:06:00.336";"197";"http://polysintez.ru/termovoylok-10-mm-1000-g-m2-2x20-m"
93.158.141.50"2017-08-10 00:06:51.517";"338";"http://polysintez.ru/stroitelnyiy-tent-eco-120-g-m2-6x8-m"
37.9.118.28"2017-08-10 00:07:16.995";"616";"http://polysintez.ru/"
89.169.95.95"2017-08-10 00:07:27.459";"201";"http://polysintez.ru/tentovyiy-material-120-g-m2-2x50-m"
109.252.59.61"2017-08-10 00:08:54.982";"434";"http://polysintez.ru/polietilenovyie-plenki/"
109.252.59.61"2017-08-10 00:08:55.624";"42";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Fpolietilenovyie-plenki%2F"
109.252.59.61"2017-08-10 00:09:12.646";"163";"http://polysintez.ru/plenka-vyisshiy-sort-chernaya-80-mkm-3x100-m"
109.252.59.61"2017-08-10 00:09:13.555";"41";"http://polysintez.ru/index.php?route=product/product/review&product_id=1672"
109.252.59.61"2017-08-10 00:09:13.593";"48";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Fplenka-vyisshiy-sort-chernaya-80-mkm-3x100-m"
91.204.252.232"2017-08-10 00:09:16.210";"291";"http://polysintez.ru/alyuminievyiy-skotch-50x35"
109.252.59.61"2017-08-10 00:09:59.353";"361";"http://polysintez.ru/polietilenovyie-plenki/"
109.252.59.61"2017-08-10 00:09:59.654";"34";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Fpolietilenovyie-plenki%2F"
217.69.134.62"2017-08-10 00:10:00.027";"92";"http://polysintez.ru/index.php?route=extension/feed/google_sitemap"
109.252.59.61"2017-08-10 00:10:22.958";"241";"http://polysintez.ru/plenka-vyisshiy-sort-chernaya-100-mkm-3x100-m"
109.252.59.61"2017-08-10 00:10:23.630";"37";"http://polysintez.ru/index.php?route=product/product/review&product_id=1673"
109.252.59.61"2017-08-10 00:10:23.664";"61";"http://polysintez.ru/index.php?route=module/progroman/city_manager/init&url=%2Fplenka-vyisshiy-sort-chernaya-100-mkm-3x100-m"
